 axis     ma
 576.33   0.197456775194E-01
 576.69   0.197625747833E-01
 577.05   0.197794953378E-01
 577.41   0.197964392268E-01
 577.77   0.198134064942E-01
 578.13   0.198303971839E-01
 578.49   0.198474113402E-01
 578.85   0.198644490071E-01
 579.21   0.198815102292E-01
 579.57   0.198985950507E-01
 579.93   0.199157035162E-01
 580.29   0.199328356704E-01
 580.65   0.199499915580E-01
 581.01   0.199671712238E-01
 581.37   0.199843747129E-01
 581.73   0.200016020704E-01
 582.09   0.200188533413E-01
 582.45   0.200361285709E-01
 582.81   0.200534278048E-01
 583.17   0.200707510883E-01
 583.53   0.200880984670E-01
 583.89   0.201054699868E-01
 584.25   0.201228656934E-01
 584.61   0.201402856327E-01
 584.97   0.201577298509E-01
 585.33   0.201751983940E-01
 585.69   0.201926913084E-01
 586.05   0.202102086403E-01
 586.41   0.202277504364E-01
 586.77   0.202453167432E-01
 587.13   0.202629076074E-01
 587.49   0.202805230758E-01
 587.85   0.202981631955E-01
 588.21   0.203158280133E-01
 588.57   0.203335175766E-01
 588.93   0.203512319325E-01
 589.29   0.203689711285E-01
 589.65   0.203867352121E-01
 590.01   0.204045242308E-01
 590.37   0.204223382325E-01
 590.73   0.204401772649E-01
 591.09   0.204580413761E-01
 591.45   0.204759306141E-01
 591.81   0.204938450271E-01
 592.17   0.205117846634E-01
 592.53   0.205297495715E-01
 592.89   0.205477397999E-01
 593.25   0.205657553972E-01
 593.61   0.205837964123E-01
 593.97   0.206018628940E-01
 594.33   0.206199548914E-01
 594.69   0.206380724535E-01
 595.05   0.206562156297E-01
 595.41   0.206743844694E-01
 595.77   0.206925790219E-01
 596.13   0.207107993370E-01
 596.49   0.207290454644E-01
 596.85   0.207473174539E-01
 597.21   0.207656153555E-01
 597.57   0.207839392192E-01
 597.93   0.208022890955E-01
 598.29   0.208206650344E-01
 598.65   0.208390670866E-01
 599.01   0.208574953026E-01
 599.37   0.208759497332E-01
 599.73   0.208944304291E-01
 600.09   0.209129374413E-01
 600.45   0.209314708210E-01
 600.81   0.209500306192E-01
 601.17   0.209686168874E-01
 601.53   0.209872296770E-01
 601.89   0.210058690396E-01
 602.25   0.210245350270E-01
 602.61   0.210432276908E-01
 602.97   0.210619470832E-01
 603.33   0.210806932562E-01
 603.69   0.210994662620E-01
 604.05   0.211182661529E-01
 604.41   0.211370929815E-01
 604.77   0.211559468004E-01
 605.13   0.211748276623E-01
 605.49   0.211937356200E-01
 605.85   0.212126707266E-01
 606.21   0.212316330351E-01
 606.57   0.212506225989E-01
 606.93   0.212696394712E-01
 607.29   0.212886837058E-01
 607.65   0.213077553561E-01
 608.01   0.213268544760E-01
 608.37   0.213459811193E-01
 608.73   0.213651353402E-01
 609.09   0.213843171928E-01
 609.45   0.214035267315E-01
 609.81   0.214227640106E-01
 610.17   0.214420290848E-01
 610.53   0.214613220088E-01
 610.89   0.214806428375E-01
 611.25   0.214999916258E-01
 611.61   0.215193684288E-01
 611.97   0.215387733019E-01
 612.33   0.215582063005E-01
 612.69   0.215776674800E-01
 613.05   0.215971568961E-01
 613.41   0.216166746048E-01
 613.77   0.216362206618E-01
 614.13   0.216557951234E-01
 614.49   0.216753980458E-01
 614.85   0.216950294852E-01
 615.21   0.217146894983E-01
 615.57   0.217343781418E-01
 615.93   0.217540954723E-01
 616.29   0.217738415468E-01
 616.65   0.217936164225E-01
 617.01   0.218134201565E-01
 617.37   0.218332528062E-01
 617.73   0.218531144291E-01
 618.09   0.218730050829E-01
 618.45   0.218929248254E-01
 618.81   0.219128737145E-01
 619.17   0.219328518083E-01
 619.53   0.219528591650E-01
 619.89   0.219728958431E-01
 620.25   0.219929619009E-01
 620.61   0.220130573973E-01
 620.97   0.220331823910E-01
 621.33   0.220533369411E-01
 621.69   0.220735211065E-01
 622.05   0.220937349467E-01
 622.41   0.221139785209E-01
 622.77   0.221342518888E-01
 623.13   0.221545551101E-01
 623.49   0.221748882446E-01
 623.85   0.221952513524E-01
 624.21   0.222156444936E-01
 624.57   0.222360677286E-01
 624.93   0.222565211178E-01
 625.29   0.222770047218E-01
 625.65   0.222975186014E-01
 626.01   0.223180628177E-01
 626.37   0.223386374315E-01
 626.73   0.223592425042E-01
 627.09   0.223798780972E-01
 627.45   0.224005442721E-01
 627.81   0.224212410904E-01
 628.17   0.224419686142E-01
 628.53   0.224627269054E-01
 628.89   0.224835160262E-01
 629.25   0.225043360389E-01
 629.61   0.225251870061E-01
 629.97   0.225460689904E-01
 630.33   0.225669820545E-01
 630.69   0.225879262616E-01
 631.05   0.226089016746E-01
 631.41   0.226299083570E-01
 631.77   0.226509463721E-01
 632.13   0.226720157836E-01
 632.49   0.226931166552E-01
