axis	ma      
604.77	2.12E-02
605.13	2.12E-02
605.49	2.12E-02
605.85	2.12E-02
606.21	2.12E-02
606.57	2.13E-02
606.93	2.13E-02
607.29	2.13E-02
607.65	2.13E-02
608.01	2.13E-02
608.37	2.13E-02
608.73	2.14E-02
609.09	2.14E-02
609.45	2.14E-02
609.81	2.14E-02
610.17	2.14E-02
610.53	2.15E-02
610.89	2.15E-02
611.25	2.15E-02
611.61	2.15E-02
611.97	2.15E-02
612.33	2.16E-02
612.69	2.16E-02
613.05	2.16E-02
613.41	2.16E-02
613.77	2.16E-02
614.13	2.17E-02
614.49	2.17E-02
614.85	2.17E-02
615.21	2.17E-02
615.57	2.17E-02
615.93	2.18E-02
616.29	2.18E-02
616.65	2.18E-02
617.01	2.18E-02
617.37	2.18E-02
617.73	2.19E-02
618.09	2.19E-02
618.45	2.19E-02
618.81	2.19E-02
619.17	2.19E-02
619.53	2.20E-02
619.89	2.20E-02
620.25	2.20E-02
620.61	2.20E-02
620.97	2.20E-02
621.33	2.21E-02
621.69	2.21E-02
622.05	2.21E-02
622.41	2.21E-02
622.77	2.21E-02
623.13	2.22E-02
623.49	2.22E-02
623.85	2.22E-02
624.21	2.22E-02
624.57	2.22E-02
624.93	2.23E-02
625.29	2.23E-02
625.65	2.23E-02
626.01	2.23E-02
626.37	2.23E-02
626.73	2.24E-02
627.09	2.24E-02
627.45	2.24E-02
627.81	2.24E-02
628.17	2.24E-02
628.53	2.25E-02
628.89	2.25E-02
629.25	2.25E-02
629.61	2.25E-02
629.97	2.25E-02
630.33	2.26E-02
630.69	2.26E-02
631.05	2.26E-02
631.41	2.26E-02
631.77	2.27E-02
632.13	2.27E-02
632.49	2.27E-02
632.85	2.27E-02
633.21	2.27E-02
633.57	2.28E-02
633.93	2.28E-02
634.29	2.28E-02
634.65	2.28E-02
635.01	2.28E-02
635.37	2.29E-02
635.73	2.29E-02
636.09	2.29E-02
636.45	2.29E-02
636.81	2.29E-02
637.17	2.30E-02
637.53	2.30E-02
637.89	2.30E-02
638.25	2.30E-02
638.61	2.31E-02
638.97	2.31E-02
639.33	2.31E-02
639.69	2.31E-02
640.05	2.31E-02
640.41	2.32E-02
640.77	2.32E-02
641.13	2.32E-02
641.49	2.32E-02
641.85	2.33E-02
642.21	2.33E-02
642.57	2.33E-02
642.93	2.33E-02
643.29	2.33E-02
643.65	2.34E-02
644.01	2.34E-02
644.37	2.34E-02
644.73	2.34E-02
645.09	2.35E-02
645.45	2.35E-02
645.81	2.35E-02
646.17	2.35E-02
646.53	2.35E-02
646.89	2.36E-02
647.25	2.36E-02
647.61	2.36E-02
647.97	2.36E-02
648.33	2.37E-02
648.69	2.37E-02
649.05	2.37E-02
649.41	2.37E-02
649.77	2.37E-02
650.14	2.38E-02
650.5	2.38E-02
650.86	2.38E-02
651.22	2.38E-02
651.58	2.39E-02
651.94	2.39E-02
652.3	2.39E-02
652.66	2.39E-02
653.02	2.40E-02
653.38	2.40E-02
653.74	2.40E-02
654.1	2.40E-02
654.46	2.40E-02
654.82	2.41E-02
655.18	2.41E-02
